,Como adubar o coqueiro,Aquaponia passo a passo - Como montar,Fossa séptica biodigestora. Além de tratar dejetos humanos fornece um excelente fertilizante,Pesquisador mostra a aquaponia em sua casa,Da hidroponia para aquaponia,Como montar armadilha de captura de besouro que ataca coqueiros e dendezeiros,Como produzir mudas de gliricídia,Raça Sindi - Gado para o semiárido,Milheto demanda menos água durante o ciclo,"A ""milagrosa"" leucena pode ser uma praga",Aquaponia Sistema Familiar,Sorgo: uma boa opção de forragem para o semiárido do Nordeste,Embrapa alerta para o Amarelecimento Letal do Coqueiro,Fossa Séptica Biodigestora,"Alerta para o ácaro vermelho em bananeiras, coqueiros e outras palmeiras",Sorgo forrageiro é uma boa opção no convívio com a seca,Soja para diversificar cultura e rotacionar com milho em SE,Embrapa mostra porta-enxertos de citros apropriados para o Nordeste,Cobertura morta no coqueiro economiza água no plantio,Cobertura morta do coqueiro - passo a passo,Uso do drone na Agricultura,Compostagem de frutíferas com cascas de coco trituradas. Passo a passo,"Palma forrageira, gliricídia, ureia e farelo de algodão na nutrição animal",Tecnologia permite partos múltiplos em ovelhas Santa Inês,"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)","Embrapa integra coqueiro, gado de corte e gliricídia em Alagoas",Pesquisa demonstra potencial de ervas daninhas na alimentação animal,Comparativo de plantio: banana Princesa e banana Maçã,Gliricídia como fonte de nitrogênio,Pesquisa sobre agricultura de precisão,Agricultura de precisão: Embrapa desenvolve estação meteorológica de baixo custo,Livro sobre mangaba,Melhore a rentabilidade na produção de ovinos - Ultrassom de carcaça,"Sorgo tem custo mais baixo, menos investimento e produção pode ser maior",Soja vira solução para crise canavieira no Nordeste,Embrapa alerta para o bicudo-vermelho que pode dizimar coqueirais e outras palmáceas,Banco com espécimes de coqueiros de todo o mundo em Sergipe,Gliricídia convive bem com a seca,"Pesquisador mostra viabilidade da soja em Sergipe, Alagoas e nordeste da Bahia",Embrapa distribui sementes de grãos biofortificados em SE,Palma forrageira: dicas de como alimentar seus animais no semiárido,Produção Racional e Sustentavel de Ovinos nos Tabuleiros Costeiros
01/09/2021,603464.0,394034.0,227507.0,192529.0,193297.0,78470.0,71137.0,71586.0,61393.0,65463.0,58693.0,51325.0,38534.0,28253.0,4936.0,42471.0,1782.0,33295.0,3928.0,14748.0,21537.0,14340.0,15870.0,15258.0,14536.0,9571.0,9737.0,10784.0,0.0,8045.0,6628.0,7777.0,7826.0,38706.0,6803.0,3454.0,1727.0,35190.0,1347.0,1234.0,37605.0,0.0
01/10/2021,634945.0,396258.0,230803.0,193372.0,193711.0,79684.0,72825.0,72832.0,63532.0,66647.0,58949.0,51685.0,40040.0,31351.0,4971.0,43081.0,1798.0,34087.0,4144.0,16609.0,21766.0,14981.0,16271.0,15587.0,14747.0,9982.0,9942.0,10853.0,0.0,8185.0,6835.0,7834.0,7845.0,39942.0,6936.0,3539.0,1744.0,35492.0,1354.0,1243.0,40501.0,0.0
01/11/2021,666865.0,398512.0,233925.0,194133.0,194156.0,81917.0,74651.0,74031.0,65751.0,68068.0,59312.0,52089.0,41428.0,33566.0,5033.0,43611.0,1808.0,34726.0,4367.0,18315.0,21941.0,15527.0,16663.0,15879.0,14914.0,10308.0,10157.0,10904.0,0.0,8318.0,6991.0,7877.0,7858.0,41048.0,7047.0,3664.0,1753.0,35832.0,1364.0,1246.0,42976.0,0.0
01/12/2021,685525.0,400583.0,236930.0,194996.0,194535.0,83799.0,76471.0,75047.0,67647.0,69325.0,59537.0,52373.0,42738.0,35190.0,5077.0,44003.0,1820.0,35222.0,4533.0,19804.0,22078.0,15917.0,16933.0,16130.0,15084.0,10559.0,10381.0,10966.0,0.0,8468.0,7142.0,7968.0,7886.0,41994.0,7152.0,3781.0,1758.0,36060.0,1373.0,1250.0,44699.0,0.0
01/01/2022,699391.0,402508.0,239577.0,195849.0,194982.0,85421.0,77925.0,76352.0,69457.0,70357.0,59748.0,52692.0,43868.0,36645.0,5129.0,44406.0,1838.0,35654.0,4674.0,21450.0,22212.0,16359.0,17195.0,16356.0,15250.0,10816.0,10633.0,11061.0,0.0,8547.0,7298.0,8101.0,7904.0,43036.0,7281.0,3874.0,1768.0,36227.0,1381.0,1263.0,47066.0,0.0
01/02/2022,713030.0,404464.0,242231.0,196601.0,195414.0,86977.0,79587.0,77727.0,71585.0,71561.0,59972.0,53043.0,44987.0,38233.0,5184.0,44880.0,1848.0,36040.0,4810.0,23273.0,22347.0,16783.0,17474.0,16594.0,15405.0,11050.0,10934.0,11157.0,0.0,8621.0,7441.0,8208.0,7921.0,44150.0,7424.0,3970.0,1778.0,36480.0,1386.0,1269.0,48592.0,0.0
01/03/2022,722007.0,405947.0,242645.0,196762.0,195758.0,87446.0,79931.0,78186.0,72816.0,71898.0,60170.0,53289.0,45683.0,39270.0,5211.0,45198.0,1849.0,36180.0,4898.0,23564.0,22378.0,16937.0,17567.0,16633.0,15458.0,11118.0,10985.0,11179.0,0.0,8663.0,7530.0,8244.0,7924.0,44478.0,7444.0,4010.0,1809.0,36533.0,1388.0,1273.0,49488.0,0.0
01/04/2022,737131.0,408301.0,243684.0,197101.0,196310.0,88501.0,80973.0,79227.0,74273.0,73002.0,60474.0,53657.0,46626.0,40903.0,5376.0,45649.0,1859.0,36598.0,5004.0,23884.0,22451.0,17250.0,17772.0,16696.0,15564.0,11234.0,11041.0,11227.0,0.0,8728.0,7684.0,8273.0,7924.0,45265.0,7501.0,4076.0,1840.0,36676.0,1390.0,1275.0,50536.0,0.0
01/05/2022,753787.0,410925.0,245836.0,197871.0,197029.0,89633.0,82396.0,80359.0,75946.0,74067.0,60773.0,54254.0,47388.0,42597.0,5412.0,46134.0,1874.0,37127.0,5144.0,25422.0,22547.0,17542.0,18027.0,16854.0,15662.0,11392.0,11134.0,11283.0,0.0,8809.0,7892.0,8315.0,7927.0,46005.0,7586.0,4130.0,1870.0,36858.0,1393.0,1279.0,51898.0,0.0
01/06/2022,770084.0,413160.0,247904.0,198525.0,197527.0,90556.0,83674.0,81396.0,77341.0,74945.0,60944.0,54777.0,48149.0,44144.0,5461.0,46596.0,1887.0,37545.0,5285.0,26891.0,22685.0,17834.0,18286.0,16983.0,15784.0,11585.0,11307.0,11351.0,4505.0,8925.0,8076.0,8338.0,7948.0,46724.0,7647.0,4175.0,1923.0,37026.0,1396.0,1286.0,53106.0,290913.0
01/07/2022,770084.0,413160.0,247904.0,198525.0,197527.0,90556.0,83674.0,81396.0,77341.0,74945.0,60944.0,54777.0,48149.0,44144.0,5461.0,46596.0,1887.0,37545.0,5285.0,26891.0,22685.0,17834.0,18286.0,16983.0,15784.0,11585.0,11307.0,11351.0,4505.0,8925.0,8076.0,8338.0,7948.0,46724.0,7647.0,4175.0,1923.0,37026.0,1396.0,1286.0,53106.0,290939.0
01/08/2022,770084.0,413160.0,250331.0,199299.0,197527.0,91762.0,84774.0,81396.0,77341.0,76144.0,61187.0,55275.0,48149.0,44144.0,5512.0,47094.0,1928.0,37545.0,5285.0,26891.0,22685.0,17834.0,18286.0,16983.0,15784.0,11585.0,11490.0,11351.0,4505.0,8925.0,8076.0,8370.0,7995.0,46724.0,7647.0,4175.0,1978.0,37286.0,1420.0,1286.0,54631.0,290939.0
01/09/2022,784304.0,415328.0,251946.0,199813.0,198116.0,92967.0,85301.0,83308.0,79649.0,77142.0,61417.0,55518.0,49073.0,45926.0,5535.0,47499.0,1955.0,37960.0,5517.0,29003.0,22685.0,18261.0,18688.0,17174.0,15920.0,11874.0,11561.0,11457.0,5427.0,9093.0,8323.0,8401.0,8014.0,47769.0,7743.0,4263.0,2035.0,37426.0,1436.0,1310.0,55973.0,290939.0
01/10/2022,790850.0,416565.0,253239.0,200190.0,198462.0,94148.0,86157.0,84095.0,81056.0,78053.0,61628.0,56108.0,49822.0,47190.0,5569.0,47903.0,1977.0,38189.0,5626.0,30578.0,22685.0,18525.0,18862.0,17327.0,16024.0,12089.0,11663.0,11544.0,5919.0,9187.0,8419.0,8424.0,8029.0,48277.0,7802.0,4316.0,2083.0,37644.0,1445.0,1319.0,57438.0,290939.0
01/11/2022,797712.0,418502.0,254384.0,200688.0,198887.0,95617.0,87180.0,84688.0,82238.0,78838.0,61872.0,56516.0,50507.0,48451.0,5598.0,48248.0,1989.0,38390.0,5705.0,32222.0,22685.0,18740.0,19024.0,17548.0,16117.0,12318.0,11766.0,11630.0,6489.0,9267.0,8507.0,8459.0,8058.0,48708.0,7871.0,4372.0,2130.0,37873.0,1455.0,1326.0,58784.0,290939.0
01/12/2022,804550.0,420028.0,255469.0,201196.0,199296.0,97006.0,88337.0,85240.0,83301.0,79592.0,62044.0,56968.0,51133.0,49646.0,5629.0,48564.0,2001.0,38569.0,5782.0,33766.0,22806.0,18995.0,19150.0,17685.0,16174.0,12544.0,11846.0,11706.0,7033.0,9352.0,8580.0,8481.0,8082.0,49143.0,7906.0,4434.0,2161.0,38076.0,1469.0,1333.0,59998.0,291110.0
01/01/2023,811195.0,421561.0,256374.0,201694.0,199631.0,98541.0,90583.0,85867.0,84287.0,80482.0,62169.0,57325.0,51825.0,50500.0,5656.0,48802.0,2018.0,38731.0,5871.0,35035.0,22834.0,19153.0,19306.0,17808.0,16246.0,12706.0,11928.0,11794.0,8141.0,9395.0,8631.0,8506.0,8102.0,49478.0,7954.0,4491.0,2192.0,38327.0,1475.0,1336.0,60924.0,291750.0
01/02/2023,821159.0,423415.0,257915.0,202292.0,200128.0,100566.0,92007.0,86737.0,85712.0,81493.0,62275.0,57805.0,52781.0,51646.0,5685.0,49091.0,2047.0,38944.0,5983.0,36925.0,22871.0,19455.0,19466.0,17997.0,16329.0,12951.0,12044.0,11904.0,9253.0,9440.0,8726.0,8528.0,8130.0,49899.0,7993.0,4558.0,2243.0,38504.0,,,61975.0,292646.0
01/03/2023,826809.0,424480.0,258590.0,202658.0,200449.0,101601.0,92755.0,87072.0,86511.0,82030.0,62367.0,58016.0,53235.0,52199.0,50197.0,49311.0,49298.0,39079.0,38570.0,37867.0,22893.0,19650.0,19576.0,18106.0,16373.0,13073.0,12084.0,11969.0,9658.0,9476.0,8820.0,8541.0,8151.0,6055.0,5710.0,4586.0,2281.0,2073.0,1492.0,1355.0,,
