,01/11/2020,01/12/2020,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021,01/12/2021,01/01/2022,01/02/2022,01/03/2022,01/04/2022,01/05/2022,01/06/2022,01/07/2022,01/08/2022,01/09/2022,01/10/2022,01/11/2022,01/12/2022,01/01/2023,01/02/2023,01/03/2023
Sorgo: uma boa opção de forragem para o semiárido do Nordeste,47055,47439,47853,48322,48712,49205,50216,50216,50591,50942,51325,51685,52089,52373,52692,53043,53289,53657,54254,54777,54777,55275,55518,56108,56516,56968,57325,57805,58016
Embrapa alerta para o Amarelecimento Letal do Coqueiro,23609,25020,26623,28503,29652,31232,33949,33949,35147,36742,38534,40040,41428,42738,43868,44987,45683,46626,47388,48149,48149,48149,49073,49822,50507,51133,51825,52781,53235
Fossa Séptica Biodigestora,0,0,0,0,0,0,0,0,0,0,28253,31351,33566,35190,36645,38233,39270,40903,42597,44144,44144,44144,45926,47190,48451,49646,50500,51646,52199
"Alerta para o ácaro vermelho em bananeiras, coqueiros e outras palmeiras",4286,4356,4417,4496,4536,4616,4767,4767,4815,4866,4936,4971,5033,5077,5129,5184,5211,5376,5412,5461,5461,5512,5535,5569,5598,5629,5656,5685,50197
Sorgo forrageiro é uma boa opção no convívio com a seca,36020,36599,37193,37945,38496,39184,40415,40415,41003,41763,42471,43081,43611,44003,44406,44880,45198,45649,46134,46596,46596,47094,47499,47903,48248,48564,48802,49091,49311
Soja para diversificar cultura e rotacionar com milho em SE,1218,1237,1279,1325,1352,1383,1683,1683,1718,1749,1782,1798,1808,1820,1838,1848,1849,1859,1874,1887,1887,1928,1955,1977,1989,2001,2018,2047,49298
Embrapa mostra porta-enxertos de citros apropriados para o Nordeste,20363,21232,22348,23902,24752,26200,29355,29355,30652,31996,33295,34087,34726,35222,35654,36040,36180,36598,37127,37545,37545,37545,37960,38189,38390,38569,38731,38944,39079
Cobertura morta no coqueiro economiza água no plantio,1508,1699,1962,2308,2510,2763,3246,3246,3435,3652,3928,4144,4367,4533,4674,4810,4898,5004,5144,5285,5285,5285,5517,5626,5705,5782,5871,5983,38570
Cobertura morta do coqueiro - passo a passo,2562,2982,3582,4527,5279,6623,9850,9850,11369,13032,14748,16609,18315,19804,21450,23273,23564,23884,25422,26891,26891,26891,29003,30578,32222,33766,35035,36925,37867
Uso do drone na Agricultura,19941,20077,20179,20325,20397,20524,20957,20957,21131,21310,21537,21766,21941,22078,22212,22347,22378,22451,22547,22685,22685,22685,22685,22685,22685,22806,22834,22871,22893
Compostagem de frutíferas com cascas de coco trituradas. Passo a passo,7337,7977,8580,9440,10048,10917,12433,12433,13053,13620,14340,14981,15527,15917,16359,16783,16937,17250,17542,17834,17834,17834,18261,18525,18740,18995,19153,19455,19650
"Palma forrageira, gliricídia, ureia e farelo de algodão na nutrição animal",11500,12021,12514,13049,13437,13866,14556,14556,14857,15360,15870,16271,16663,16933,17195,17474,17567,17772,18027,18286,18286,18286,18688,18862,19024,19150,19306,19466,19576
Tecnologia permite partos múltiplos em ovelhas Santa Inês,9361,9816,10289,10794,11108,11764,13410,13410,14213,14832,15258,15587,15879,16130,16356,16594,16633,16696,16854,16983,16983,16983,17174,17327,17548,17685,17808,17997,18106
"Soja é viável em Sergipe, Alagoas e Bahia (Sealba)",9307,9496,9696,9946,10090,10348,13611,13611,13939,14280,14536,14747,14914,15084,15250,15405,15458,15564,15662,15784,15784,15784,15920,16024,16117,16174,16246,16329,16373
"Embrapa integra coqueiro, gado de corte e gliricídia em Alagoas",6241,6514,6846,7192,7488,7881,8611,8611,8839,9197,9571,9982,10308,10559,10816,11050,11118,11234,11392,11585,11585,11585,11874,12089,12318,12544,12706,12951,13073
Pesquisa demonstra potencial de ervas daninhas na alimentação animal,6495,6726,7039,7510,7758,8201,9004,9004,9234,9493,9737,9942,10157,10381,10633,10934,10985,11041,11134,11307,11307,11490,11561,11663,11766,11846,11928,12044,12084
Comparativo de plantio: banana Princesa e banana Maçã,8910,9074,9255,9512,9704,9969,10411,10411,10561,10689,10784,10853,10904,10966,11061,11157,11179,11227,11283,11351,11351,11351,11457,11544,11630,11706,11794,11904,11969
Gliricídia como fonte de nitrogênio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4505,4505,4505,5427,5919,6489,7033,8141,9253,9658
Pesquisa sobre agricultura de precisão,6550,6716,6797,6954,7200,7361,7713,7713,7818,7916,8045,8185,8318,8468,8547,8621,8663,8728,8809,8925,8925,8925,9093,9187,9267,9352,9395,9440,9476
Agricultura de precisão: Embrapa desenvolve estação meteorológica de baixo custo,4699,4911,5083,5295,5455,5638,6040,6040,6230,6425,6628,6835,6991,7142,7298,7441,7530,7684,7892,8076,8076,8076,8323,8419,8507,8580,8631,8726,8820
Livro sobre mangaba,5101,5547,5887,6478,6841,7262,7589,7589,7685,7739,7777,7834,7877,7968,8101,8208,8244,8273,8315,8338,8338,8370,8401,8424,8459,8481,8506,8528,8541
Melhore a rentabilidade na produção de ovinos - Ultrassom de carcaça,7578,7596,7613,7636,7659,7688,7740,7740,7765,7799,7826,7845,7858,7886,7904,7921,7924,7924,7927,7948,7948,7995,8014,8029,8058,8082,8102,8130,8151
"Sorgo tem custo mais baixo, menos investimento e produção pode ser maior",26829,27940,29131,30433,31339,32607,35149,35149,36241,37476,38706,39942,41048,41994,43036,44150,44478,45265,46005,46724,46724,46724,47769,48277,48708,49143,49478,49899,6055
Soja vira solução para crise canavieira no Nordeste,2787,2905,2997,3095,3199,3349,6208,6208,6492,6640,6803,6936,7047,7152,7281,7424,7444,7501,7586,7647,7647,7647,7743,7802,7871,7906,7954,7993,5710
Embrapa alerta para o bicudo-vermelho que pode dizimar coqueirais e outras palmáceas,2419,2518,2660,2811,2905,3034,3252,3252,3329,3396,3454,3539,3664,3781,3874,3970,4010,4076,4130,4175,4175,4175,4263,4316,4372,4434,4491,4558,4586
Banco com espécimes de coqueiros de todo o mundo em Sergipe,1512,1534,1553,1586,1611,1645,1688,1688,1695,1714,1727,1744,1753,1758,1768,1778,1809,1840,1870,1923,1923,1978,2035,2083,2130,2161,2192,2243,2281
Gliricídia convive bem com a seca,32456,32650,32942,33342,33592,33905,34455,34455,34634,34942,35190,35492,35832,36060,36227,36480,36533,36676,36858,37026,37026,37286,37426,37644,37873,38076,38327,38504,2073
"Pesquisador mostra viabilidade da soja em Sergipe, Alagoas e nordeste da Bahia",1216,1221,1226,1230,1231,1242,1312,1312,1325,1334,1347,1354,1364,1373,1381,1386,1388,1390,1393,1396,1396,1420,1436,1445,1455,1469,1475,,1492
Embrapa distribui sementes de grãos biofortificados em SE,1096,1107,1152,1176,1181,1188,1208,1208,1218,1227,1234,1243,1246,1250,1263,1269,1273,1275,1279,1286,1286,1286,1310,1319,1326,1333,1336,,1355
Palma forrageira: dicas de como alimentar seus animais no semiárido,22222,23305,24663,26691,27857,29156,31853,31853,33124,35132,37605,40501,42976,44699,47066,48592,49488,50536,51898,53106,53106,54631,55973,57438,58784,59998,60924,61975,
Produção Racional e Sustentavel de Ovinos nos Tabuleiros Costeiros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290913,290939,290939,290939,290939,290939,291110,291750,292646,
